state,city,popular_destination,latitude,longitude,interest,google_rating,price_fare
Andhra Pradesh,Visakhapatnam,Matsyadarshini Aquarium,15.912900,79.739988,Sightseeing & Exploration,4.5,₹0
Andhra Pradesh,Visakhapatnam,Visakha Museum,17.720581,83.334529,"Arts, Science & Literature Attractions, Sightseeing & Exploration",4.7,₹0
Andhra Pradesh,Srisailam,Srisailam Wildlife sanctuary,16.073746,78.872684,Natural Landscapes & Wildlife,4.4,₹0
Andhra Pradesh,Srisailam,Chenchu Lakshmi Tribal Museum,16.069476,78.871498,Cultural & Heritage Sites,4.7,₹0
Andhra Pradesh,Kurnool,Belum Caves,15.102579,78.111507,Natural Landscapes & Wildlife,4.6,₹0
Andhra Pradesh,Kurnool,Rollapadu wildlife sanctuary,15.738977,78.365098,Natural Landscapes & Wildlife,4.3,₹0
Andhra Pradesh,Kurnool,Oravakallu rock garden,15.692897,78.152184,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.2,₹0
Andhra Pradesh,Kurnool,Ahobilam temple,15.133767,78.674166,Religious & Spiritual Pilgrimages,4.8,₹0
Arunachal Pradesh,Tawang,Jaswant Garh war memorial,28.217999,94.727753,Cultural & Heritage Sites,3.8,₹0
Arunachal Pradesh,Tawang,Madhuri lake,28.217999,94.727753,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.3,₹0
Arunachal Pradesh,Tawang,Shonga Tser Lake,28.217999,94.727753,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.5,₹0
Arunachal Pradesh,Tawang,Nuranang waterfalls,28.217999,94.727753,"Natural Landscapes & Wildlife, Adventure & Outdoor Activities, Sightseeing & Exploration",4.8,₹0
Arunachal Pradesh,Tawang,Tibetan Settlement market,28.217999,94.727753,"Cultural & Heritage Sites, Shopping & Markets",4.0,₹0
Arunachal Pradesh,Tawang,Sela pass,28.217999,94.727753,"Adventure & Outdoor Activities, Sightseeing & Exploration",4.0,₹0
Arunachal Pradesh,Tawang,Gorichen Peak hike,28.217999,94.727753,Adventure & Outdoor Activities,3.9,₹0
Arunachal Pradesh,Tawang,Taktsang Gompa monastery,28.217999,94.727753,Religious & Spiritual Pilgrimages,3.8,₹0
Arunachal Pradesh,Tawang,Tawang Monastery,27.586726,91.857719,"Cultural & Heritage Sites, Religious & Spiritual Pilgrimages",4.5,₹0
Assam,Guwahati,Kamakhya Temple,26.166411,91.705503,Religious & Spiritual Pilgrimages,4.9,₹0
Assam,Guwahati,Sunset cruise by river Brahmaputra,26.200604,92.937574,Sightseeing & Exploration,3.8,₹0
Assam,Guwahati,Pobitora wildlife sanctuary,26.230785,92.055061,Natural Landscapes & Wildlife,4.0,₹0
Assam,Guwahati,Bird watching by Deepor Beel lake,26.117694,91.649353,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.0,₹0
Assam,Guwahati,Assam State Zoo,26.163519,91.780725,Natural Landscapes & Wildlife,4.0,₹0
Assam,Guwahati,Kamakhya Temple,26.166411,91.705503,Religious & Spiritual Pilgrimages,4.7,₹0
Assam,Guwahati,Fancy Bazaar,26.183074,91.740498,Shopping & Markets,4.7,₹0
Assam,Guwahati,Manas National Park,26.810174,91.239483,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.2,₹0
Assam,Guwahati,Umananda Island,26.196492,91.744908,Natural Landscapes & Wildlife,4.5,₹0
Assam,Kaziranga,Majuli river island,27.001617,94.224298,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.6,₹0
Assam,Kaziranga,Orchid national park,26.200604,92.937574,Natural Landscapes & Wildlife,4.7,₹0
Bihar,Bodh Gaya,Mahabodhi Temple,24.695922,84.991419,Religious & Spiritual Pilgrimages,3.9,₹0
Bihar,Bodh Gaya,Thai monastery,25.964443,85.272247,Religious & Spiritual Pilgrimages,3.9,₹0
Bihar,Bodh Gaya,Great Buddha statue,24.690388,84.981943,Sightseeing & Exploration,3.9,₹0
Bihar,Bodh Gaya,Bodhi tree,25.964443,85.272247,Religious & Spiritual Pilgrimages,4.0,₹0
Bihar,Bodh Gaya,Indosan Nippon Japanese temple,25.964443,85.272247,Religious & Spiritual Pilgrimages,4.0,₹0
Bihar,Bodh Gaya,Dungeshwari cave temple,24.736701,85.047498,Religious & Spiritual Pilgrimages,4.8,₹0
Bihar,Bodh Gaya,Muchalinda lake,24.680644,84.992662,Natural Landscapes & Wildlife,4.7,₹0
Bihar,Patna,Buddha memorial park,25.964443,85.272247,Religious & Spiritual Pilgrimages,4.9,₹0
Bihar,Patna,Srikrishna science centre,25.616419,85.141108,"Arts, Science & Literature Attractions",4.8,₹0
Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,25.596050,85.229956,Religious & Spiritual Pilgrimages,4.0,₹0
Bihar,Patna,Budhha Smriti Park,25.606714,85.136150,Sightseeing & Exploration,4.0,₹0
Chhattisgarh,Bastar,Chitrakote Falls,19.207173,81.700060,Natural Landscapes & Wildlife,4.9,₹0
Chhattisgarh,Bastar,Tirathgarh waterfalls,18.913950,81.865109,Natural Landscapes & Wildlife,4.0,₹0
Chhattisgarh,Bastar,Kotumsar caves,18.906638,81.905050,Natural Landscapes & Wildlife,3.0,₹0
Chhattisgarh,Bastar,Anthropological museum,21.278657,81.866144,"Arts, Science & Literature Attractions",3.8,₹0
Chhattisgarh,Raipur,Ambuja City Center mall,21.275629,81.687617,Shopping & Markets,4.5,₹0
Chhattisgarh,Raipur,Magneto mall,21.240929,81.684156,Shopping & Markets,4.5,₹0
Chhattisgarh,Raipur,Ghatarani waterfalls,20.828063,82.059813,Natural Landscapes & Wildlife,4.9,₹0
Chhattisgarh,Raipur,Jatmai Temple,20.795888,82.029848,Religious & Spiritual Pilgrimages,4.7,₹0
Daman and Diu,Diu,Diu Fort,20.718689,70.987674,Cultural & Heritage Sites,3.8,₹0
Daman and Diu,Daman,Nani Daman market,20.414870,72.835301,Shopping & Markets,4.2,₹0
Daman and Diu,Diu,DMC market,20.718628,70.987048,Shopping & Markets,5.0,₹0
Daman and Diu,Diu,Basilica of Bom Jesus Church,20.554665,71.885701,Cultural & Heritage Sites,4.7,₹0
Daman and Diu,Diu,Jampore beach,20.375971,72.825722,"Natural Landscapes & Wildlife, Beach",4.6,₹0
Delhi,Delhi,India Gate,28.612912,77.229510,Cultural & Heritage Sites,4.6,₹0
Delhi,Delhi,Chandni Chowk,28.650533,77.230337,Shopping & Markets,4.2,₹0
Delhi,Delhi,Lotus Temple,28.553492,77.258826,Religious & Spiritual Pilgrimages,4.5,₹0
Delhi,Delhi,Agrasen ki Baoli,28.626062,77.225037,Cultural & Heritage Sites,4.2,₹0
Delhi,Delhi,Sunder Nursery,28.595647,77.245169,Natural Landscapes & Wildlife,4.6,₹0
Delhi,Delhi,Lodhi Garden,28.593681,77.221834,Natural Landscapes & Wildlife,4.5,₹0
Delhi,Delhi,Shopping at Sarojini Nagar,28.574032,77.199067,Shopping & Markets,4.2,₹0
Goa,Goa,Basilica of Bom Jesus,15.500800,73.911400,Religious & Spiritual Pilgrimages,4.5,₹0
Goa,Goa,Fort Aguada,15.500824,73.911406,Cultural & Heritage Sites,4.2,₹0
Goa,Goa,Anjuna Beach,15.314438,74.314307,Adventure & Outdoor Activities,4.4,₹0
Goa,Goa,Chapora Fort,15.573350,73.740978,Cultural & Heritage Sites,4.2,₹0
Goa,Goa,Se Cathedral,15.604638,73.736963,Religious & Spiritual Pilgrimages,4.5,₹0
Goa,Goa,Baga Beach,15.503877,73.912192,Natural Landscapes & Wildlife,4.5,₹0
Goa,Goa,Candolim Beach,15.555279,73.751731,Natural Landscapes & Wildlife,4.4,₹0
Goa,Panjim,Fontainhas colony,15.517975,73.762612,Cultural & Heritage Sites,4.2,₹0
Goa,Panjim,Shopping at M.G.Road,15.494103,73.830078,Shopping & Markets,4.1,₹0
Goa,Panjim,Gallery Gitanjali,12.974759,77.609393,"Arts, Science & Literature Attractions",4.5,₹0
Goa,Panjim,Our Lady of Immaculate Conception Church,15.498600,73.829400,Religious & Spiritual Pilgrimages,4.4,₹0
Goa,Goa,Old Goa,15.501400,73.913500,Cultural & Heritage Sites,4.5,₹0
Goa,Goa,Arambol Beach,15.501984,73.910007,Natural Landscapes & Wildlife,4.6,₹0
Goa,Goa,Palolem Beach,15.684689,73.703284,Natural Landscapes & Wildlife,4.6,₹0
Goa,Goa,Colva Beach,15.009965,74.023219,Natural Landscapes & Wildlife,4.3,₹0
Goa,Goa,Miramar Beach,15.280532,73.911995,Natural Landscapes & Wildlife,4.2,₹0
Gujarat,Ahmedabad,Sabarmati Ashram,23.057285,72.687262,Cultural & Heritage Sites,4.6,₹0
Gujarat,Dwarka,Dwarkadhish Temple,22.335964,69.087009,Religious & Spiritual Pilgrimages,4.7,₹0
Gujarat,Bhuj,White Desert,23.218751,69.736450,Natural Landscapes & Wildlife,4.6,₹0
Gujarat,Somnath,Somnath Temple,20.884184,70.405855,Religious & Spiritual Pilgrimages,4.8,₹0
Gujarat,Gandhinagar,Dandi Kutir,28.612674,77.277262,"Arts, Science & Literature Attractions",4.5,₹0
Gujarat,Ahmedabad,Sabarmati Riverfront,23.232876,72.631194,Sightseeing & Exploration,4.6,₹0
Gujarat,Ahmedabad,Manek Chowk,23.023454,72.576641,Shopping & Markets,4.4,₹0
Gujrat,Ahemdabad,Jhulta Minara,21.838018,73.719073,Cultural & Heritage Sites,4.1,₹0
Gujrat,Dwarka,Dwarka Beach & Lighthouse,23.035862,72.570109,Natural Landscapes & Wildlife,4.6,₹0
Gujrat,Dwarka,Rukmini Devi Mandir,22.244198,68.968456,Religious & Spiritual Pilgrimages,4.6,₹0
Gujrat,Dwarka,Shri Nageshwar Jyotirling,22.257314,68.964419,Religious & Spiritual Pilgrimages,4.7,₹0
Gujrat,Junagadh,Mahabat Maqbara Palace,22.237108,68.967626,Cultural & Heritage Sites,4.4,₹0
Gujrat,Bhuj,Bhuj Mandir,23.255360,69.668561,Religious & Spiritual Pilgrimages,4.7,₹0
Gujrat,Bhuj,Chhatardi Bhuj,23.242000,69.666932,Cultural & Heritage Sites,4.4,₹0
Gujrat,Vadodara,Inorbit Mall Vadodara,22.311457,73.191386,Shopping & Markets,4.5,₹0
Gujrat,Vadodara,BAPS Shri Swaminarayan Mandir,22.311770,73.188745,Religious & Spiritual Pilgrimages,4.5,₹0
Gujrat,Vadodara,Mandvi Gate,22.300100,73.210600,Cultural & Heritage Sites,4.4,₹0
Gujrat,Somnath,Somnath Beach,22.293599,73.191907,Religious & Spiritual Pilgrimages,4.5,₹0
Gujrat,Gandhinagar,Adalaj Stepwell,20.887990,70.401257,Cultural & Heritage Sites,4.5,₹0
Gujrat,Gandhinagar,Sarita Udyan,23.166783,72.580464,Sightseeing & Exploration,4.4,₹0
Gujrat,Gandhinagar,Swaminarayan Akshardham,23.203152,72.658938,Religious & Spiritual Pilgrimages,4.6,₹0
Haryana,Gurugram,Ambience Mall,28.505504,77.095956,Shopping & Markets,3.9,₹0
Haryana,Gurugram,Shopping at HUDA marjet Sector 14,28.471081,77.045414,Shopping & Markets,4.2,₹0
Haryana,Gurugram,Shopping at Sadar bazaar Sector 12A,28.465278,77.026933,Shopping & Markets,4.6,₹0
Haryana,Gurugram,Go-karting at Link road,29.058776,76.085601,Adventure & Outdoor Activities,4.9,₹0
Haryana,Gurugram,Aravalli biodiversity park,29.058776,76.085601,Natural Landscapes & Wildlife,4.7,₹0
Haryana,Gurugram,Vintage camera museum,29.058776,76.085601,"Arts, Science & Literature Attractions",4.0,₹0
Haryana,Gurugram,DLF CyberHub for shopping,28.495042,77.089095,Shopping & Markets,4.0,₹0
Himachal Pradesh,Shimla,Mall road,31.103500,77.170200,Shopping & Markets,4.7,₹0
Himachal Pradesh,Shimla,Annandale  view,31.111613,77.159301,Sightseeing & Exploration,3.8,₹0
Himachal Pradesh,Shimla,Chadwick falls,31.119635,77.138937,Natural Landscapes & Wildlife,3.6,₹0
Himachal Pradesh,Shimla,Naldhera and Shaily peak,31.181164,77.185900,Natural Landscapes & Wildlife,4.5,₹0
Himachal Pradesh,Shimla,Scandal point,31.105200,77.172400,Sightseeing & Exploration,4.5,₹0
Himachal Pradesh,Shimla,Lakkar bazaar,31.105823,77.178711,Shopping & Markets,4.0,₹0
Himachal Pradesh,Shimla,Tara Devi Temple,31.046256,77.134284,Religious & Spiritual Pilgrimages,4.8,₹0
Himachal Pradesh,Shimla,Christ Church,31.061400,77.103400,Cultural & Heritage Sites,4.6,₹0
Himachal Pradesh,Shimla,Jakhoo hill,31.101341,77.183504,Natural Landscapes & Wildlife,4.6,₹0
Himachal Pradesh,Manali,Solang Valley,32.316000,77.157000,Natural Landscapes & Wildlife,4.1,₹0
Himachal Pradesh,Manali,Hidimba Devi Temple,32.248353,77.181573,Religious & Spiritual Pilgrimages,4.6,₹0
Himachal Pradesh,Manali,Beas kund,32.366447,77.085496,Natural Landscapes & Wildlife,4.6,₹0
Himachal Pradesh,Manali,Vashisht baths,32.281006,77.229019,Adventure & Outdoor Activities,4.0,₹0
Himachal Pradesh,Manali,Rohtang Pass,32.371643,77.246622,Adventure & Outdoor Activities,4.5,₹0
Himachal Pradesh,Manali,Gulaba viewpoint,32.317903,77.189340,Sightseeing & Exploration,4.5,₹0
Himachal Pradesh,Dalhousie,Panch Pulla Waterfall,32.528800,75.990800,Natural Landscapes & Wildlife,3.9,₹0
Himachal Pradesh,Dalhousie,Shop at Tibetan Handicrafts market,32.536400,75.976700,Shopping & Markets,3.8,₹0
Himachal Pradesh,Dalhousie,Subhash Baoli spring,32.540257,75.984400,Religious & Spiritual Pilgrimages,3.3,₹0
Himachal Pradesh,Dalhousie,Dalai Lama Temple,32.231573,76.323799,Religious & Spiritual Pilgrimages,4.7,₹0
Himachal Pradesh,Dalhousie,Khajjiar Lake,32.546218,76.058081,Natural Landscapes & Wildlife,4.5,₹0
Himachal Pradesh,Kullu,Vaishno Devi Temple,31.983400,77.126200,Religious & Spiritual Pilgrimages,4.6,₹0
Himachal Pradesh,Kullu,Hamta Pass,32.270370,77.346582,Adventure & Outdoor Activities,4.5,₹0
Himachal Pradesh,Kullu,Tirthan valley,31.626330,77.422127,Natural Landscapes & Wildlife,4.7,₹0
Himachal Pradesh,Kullu,Chandrakhani Pass,32.069513,77.240774,Adventure & Outdoor Activities,4.3,₹0
Himachal Pradesh,Kullu,Cycling from Manu Temple,32.257042,77.176052,Adventure & Outdoor Activities,4.6,₹0
Jammu and Kashmir,Srinagar,Dal Lake,34.110586,74.868257,Natural Landscapes & Wildlife,4.6,₹0
Jammu and Kashmir,Srinagar,Shopping at Lal Chowk,34.071327,74.810624,Shopping & Markets,4.4,₹0
Jammu and Kashmir,Srinagar,Shopping at Badshah Chowk,34.072523,74.809073,Shopping & Markets,4.4,₹0
Jammu and Kashmir,Srinagar,Indira Gandhi Memorial Tulip Garden,34.096038,74.878442,Natural Landscapes & Wildlife,4.7,₹0
Jammu and Kashmir,Srinagar,Manasabal Lake,34.247178,74.670782,Natural Landscapes & Wildlife,4.7,₹0
Jammu and Kashmir,Srinagar,"Rafting , Gondola ride at Sonmarg",34.303162,75.293111,Adventure & Outdoor Activities,4.8,₹0
Jammu and Kashmir,Srinagar,Chashme Shahi Garden,34.086029,74.887769,Natural Landscapes & Wildlife,4.0,₹0
Jammu and Kashmir,Srinagar,Shalimar Bagh,34.149525,74.872925,Natural Landscapes & Wildlife,4.0,₹0
Jammu and Kashmir,Srinagar,Betaab Valley,34.054060,75.363889,Natural Landscapes & Wildlife,3.8,₹0
Jammu and Kashmir,Srinagar,Aru Valley � For daring expeditions,34.092162,75.263219,Adventure & Outdoor Activities,3.7,₹0
Jammu and Kashmir,Srinagar,Sinthan top,33.581103,75.510235,Natural Landscapes & Wildlife,4.7,₹0
Jammu and Kashmir,Srinagar,Doodh Pathri,33.850893,74.563049,Natural Landscapes & Wildlife,4.5,₹0
Jammu and Kashmir,Srinagar,Jamia Masjid Mosque,53.357411,-1.481986,Religious & Spiritual Pilgrimages,4.4,₹0
Jammu and Kashmir,Jammu,Vaishno Devi,33.030830,74.949042,Religious & Spiritual Pilgrimages,4.7,₹0
Jharkhand,Deoghar,Baba Baidyanath Temple,24.492765,86.700521,Religious & Spiritual Pilgrimages,4.4,₹0
Jharkhand,Deoghar,Naulakha temple,24.477562,86.708356,Religious & Spiritual Pilgrimages,4.8,₹0
Jharkhand,Deoghar,Trikut hill,24.498333,86.836944,Religious & Spiritual Pilgrimages,4.6,₹0
Jharkhand,Ranchi,Pahari Mandir,23.375429,85.310750,Religious & Spiritual Pilgrimages,4.5,₹0
Jharkhand,Ranchi,Patratu valley,23.575550,85.274161,Natural Landscapes & Wildlife,4.4,₹0
Jharkhand,Ranchi,State museum Hotwar,23.383537,85.385468,Cultural & Heritage Sites,4.9,₹0
Jharkhand,Ranchi,Dassam falls,23.146252,85.467220,Natural Landscapes & Wildlife,4.9,₹0
Jharkhand,Ranchi,Jonha falls,23.342307,85.610206,Natural Landscapes & Wildlife,4.8,₹0
Karanataka,Hampi,Virupaksha Temple,12.305163,76.655175,Religious & Spiritual Pilgrimages,4.7,₹0
Karanataka,Hampi,Mathanga Hill,15.331600,76.468200,Natural Landscapes & Wildlife,4.8,₹0
Karanataka,Chikmanglur,Sri Sharadamba Temple,9.812120,77.174747,Religious & Spiritual Pilgrimages,4.8,₹0
Karanataka,Chikmanglur,Baba Budan Giri hills,13.548611,75.789148,Natural Landscapes & Wildlife,4.5,₹0
Karnataka,Bangalore,Cubbon Park,12.949416,77.584681,Natural Landscapes & Wildlife,4.4,₹0
Karnataka,Bangalore,Church street,28.610193,77.234418,Sightseeing & Exploration,4.1,₹0
Karnataka,Bangalore,MG Road,12.582568,77.364279,Sightseeing & Exploration,4.2,₹0
Karnataka,Bangalore,Vidhana Soudha,12.933490,77.576629,Cultural & Heritage Sites,4.6,₹0
Karnataka,Bangalore,ISKCON Temple Bangalore,12.979612,77.590846,Religious & Spiritual Pilgrimages,4.6,₹0
Karnataka,Mysore,Shri Chamundeshwari Temple,12.834910,77.400941,Religious & Spiritual Pilgrimages,4.7,₹0
Karnataka,Mysore,Chamundi Betta,12.272504,76.670715,Natural Landscapes & Wildlife,4.7,₹0
Karnataka,Mysore,"Karanji Lake, boating, bird sanctuary",12.316339,76.643323,"Natural Landscapes & Wildlife, Adventure & Outdoor Activities",4.0,₹0
Karnataka,Hampi,Stone Chariot,15.335133,76.458653,Cultural & Heritage Sites,4.8,₹0
Karnataka,Hampi,Shree Vijaya Vitthala Temple,15.331639,76.468238,Religious & Spiritual Pilgrimages,4.8,₹0
Karnataka,Hampi,Ajanadri Hills,15.320285,76.471324,Adventure & Outdoor Activities,4.7,₹0
Karnataka,Coorg,Raja's Seat garden,15.354839,76.469264,Sightseeing & Exploration,4.4,₹0
Karnataka,Coorg,Mallalli Falls,12.073437,76.151082,Natural Landscapes & Wildlife,4.6,₹0
Karnataka,Coorg,Coorg river rafting Barapole,12.371192,75.905120,Adventure & Outdoor Activities,4.1,₹0
Karnataka,Coorg,Iruppu Falls-Brahmagiri,12.430628,75.966954,Natural Landscapes & Wildlife,4.1,₹0
Karnataka,Chikmanglur,Shri Jagadguru Shankaracharya Peeta,13.694874,75.635227,Religious & Spiritual Pilgrimages,4.8,₹0
Karnataka,Chikmanglur,Shri Annapurneshwari Devi Temple,13.416713,75.252143,Religious & Spiritual Pilgrimages,4.8,₹0
Karnataka,Chikmanglur,Kallathigiri Falls,13.416140,75.251271,Natural Landscapes & Wildlife,4.2,₹0
Karnataka,Chikmagalur,Mullayanagiri Betta,13.422865,75.770388,Natural Landscapes & Wildlife,4.5,₹0
Karnataka,Badami,Sri Bhootanaatha Gudi,13.390886,75.721330,Religious & Spiritual Pilgrimages,4.7,₹0
Karnataka,Badami,Banashankari Devi Temple,15.920789,75.687670,Religious & Spiritual Pilgrimages,4.7,₹0
Karnataka,Mangalore,City Center mall,12.871300,74.842800,Shopping & Markets,4.4,₹0
Karnataka,Mangalore,Kukke Shree Subrahmanya Temple,12.663628,75.615848,Religious & Spiritual Pilgrimages,4.6,₹0
Karnataka,Mangalore,Dharmasthala Temple,12.950382,75.380492,Religious & Spiritual Pilgrimages,4.8,₹0
Karnataka,Bijapur,Jamiya Masjid,16.822273,75.728779,"Cultural & Heritage Sites, Religious & Spiritual Pilgrimages",4.2,₹0
Karnataka,Bijapur,Shivgiri Temple,16.817515,75.756353,Religious & Spiritual Pilgrimages,4.5,₹0
Karnataka,Bijapur,Bara Kaman,16.830315,75.718271,Cultural & Heritage Sites,4.2,₹0
Karnataka,Bijapur,Gol Gumbaz museum,16.828823,75.735884,"Cultural & Heritage Sites, Arts, Science & Literature Attractions",4.5,₹0
Karnataka,Bijapur,Gol Gumbaz,16.830262,75.736115,Cultural & Heritage Sites,4.5,₹0
Kerala,Alappuzha,Shree Krishna Swamy Temple,30.752535,76.810104,Religious & Spiritual Pilgrimages,4.6,₹0
Kerala,Alappuzha,Marari Beach,9.600800,76.298300,Natural Landscapes & Wildlife,4.5,₹0
Kerala,Alappuzha,International Coi Museum,9.600751,76.298259,"Arts, Science & Literature Attractions",4.3,₹0
Kerala,Alappuzha,Alleppey Backwater,9.523900,76.356800,Natural Landscapes & Wildlife,4.6,₹0
Kerala,Alappuzha,Chakkulathukavu Sree Bhagwathi Temple,9.523861,76.356763,Religious & Spiritual Pilgrimages,4.3,₹0
Kerala,Alappuzha,Mannarasala Sree Nagaraja Temple,9.366942,76.514188,Religious & Spiritual Pilgrimages,4.3,₹0
Kerala,Alappuzha,St.Andrew's Basilica,9.289681,76.445683,Religious & Spiritual Pilgrimages,4.7,₹0
Kerala,Alappuzha,Alappuzha Beach,9.661129,76.300290,Natural Landscapes & Wildlife,4.5,₹0
Kerala,Munnar,Pothamedu View Point,9.492748,76.317776,Sightseeing & Exploration,4.2,₹0
Kerala,Munnar,Mattupetty Dam,10.145391,77.036635,Sightseeing & Exploration,4.2,₹0
Kerala,Munnar,Munnar Tea Gardens,10.106332,77.123806,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.3,₹0
Kerala,Kochi,LuLu International Shopping Mall,10.057841,77.066081,Shopping & Markets,4.6,₹0
Kerala,Kochi,National Shrine Basilica of our Lady of Ransom,10.027148,76.308186,Religious & Spiritual Pilgrimages,4.8,₹0
Kerala,Kochi,Marine Drive Kochi,9.958277,76.259351,Sightseeing & Exploration,4.3,₹0
Kerala,Kochi,Chottanikara Bhagvathy Temple,9.977169,76.277323,Religious & Spiritual Pilgrimages,5.0,₹0
Kerala,Kochi,Hill Palace Museum,9.933174,76.390571,Cultural & Heritage Sites,4.3,₹0
Kerala,Kochi,Cherai Beach,9.952749,76.363802,Natural Landscapes & Wildlife,4.0,₹0
Kerala,Kochi,Fort Kochi,10.141595,76.178283,Cultural & Heritage Sites,4.4,₹0
Kerala,Thiruvanthapuram,Attukal Bhagwathy Temple,9.965779,76.242115,Religious & Spiritual Pilgrimages,4.6,₹0
Kerala,Thiruvanthapuram,Kovalam Beach,8.469862,76.955486,Natural Landscapes & Wildlife,4.4,₹0
Kerala,Thiruvanthapuram,Kanakakkunnu Palace,8.510594,76.954938,Cultural & Heritage Sites,4.5,₹0
Kerala,Thiruvanthapuram,Veli Lake Tourist Village,8.510718,76.958186,Sightseeing & Exploration,4.2,₹0
Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,8.508966,76.955072,Religious & Spiritual Pilgrimages,4.7,₹0
Kerala,Kozhikode,HiLITE mall,8.482778,76.943591,Shopping & Markets,4.2,₹0
Kerala,Kozhikode,Mittayi Theravu -SM Street,11.248658,75.833473,Shopping & Markets,4.5,₹0
Kerala,Kozhikode,Tali Maha Shiva Kshetram,11.250762,75.781561,Religious & Spiritual Pilgrimages,4.7,₹0
Kerala,Kozhikode,Kozhikode Beach,11.560115,75.605862,Natural Landscapes & Wildlife,3.9,₹0
Kerala,Wayanad,Lakkidi View point,11.262623,75.767310,Sightseeing & Exploration,4.5,₹0
Kerala,Wayanad,"Karapuzha Dam, adventure park, garden",11.626841,76.234269,Adventure & Outdoor Activities,4.4,₹0
Kerala,Kannur,Muzhappilangad Beach,11.671601,76.368656,Natural Landscapes & Wildlife,4.4,₹0
Kerala,Kannur,Parassini Madappura Sree Muthappan Temple,11.793204,75.444107,Religious & Spiritual Pilgrimages,4.4,₹0
Ladakh,Leh,Hemis National Park,33.718721,77.388222,Natural Landscapes & Wildlife,4.5,₹0
Ladakh,Leh,Hunder � Try Bactrian Camel Safari,34.575284,77.498875,Adventure & Outdoor Activities,4.7,₹0
